sku,country,unit,seller,min_price,min_price_date,max_price,max_price_date,current_price,current_price_date,average_price
B0000C73CQ,France,€,amazon,10.99,2019-03-29 00:00:00,126.94,2012-09-27 00:00:00,16.9,2023-09-07 00:00:00,16.22
B0000C73CQ,France,€,new,1.99,2013-05-31 00:00:00,29.07,2023-06-07 00:00:00,,,16.54
B0000C73CQ,France,€,used,8.9,2019-10-09 00:00:00,68.03,2017-05-08 00:00:00,16.56,2024-01-16 00:00:00,16.63
B0002M6CVC,France,€,amazon,4.6,2016-11-25 00:00:00,9.28,2021-04-05 00:00:00,5.9,2023-08-05 00:00:00,7.63
B0002M6CVC,France,€,new,1.0,2018-05-01 00:00:00,9.7,2023-01-04 00:00:00,3.87,2024-01-06 00:00:00,7.83
B0002M6CVC,France,€,used,2.8,2016-06-03 00:00:00,43.35,2023-10-06 00:00:00,43.35,2023-10-06 00:00:00,5.94
B0009G5BRW,France,€,amazon,2.99,2019-07-09 00:00:00,23.17,2020-06-01 00:00:00,4.99,2023-12-22 00:00:00,9.08
B0009G5BRW,France,€,new,2.0,2018-06-27 00:00:00,18.28,2020-10-07 00:00:00,,,9.59
B0009G5BRW,France,€,used,3.93,2019-11-22 00:00:00,8.52,2022-11-09 00:00:00,,,6.2
B000CRBEJ2,France,€,amazon,23.38,2020-06-22 00:00:00,54.8,2023-05-29 00:00:00,38.5,2024-01-14 00:00:00,38.85
B000CRBEJ2,France,€,new,8.0,2017-07-16 00:00:00,50.0,2018-10-27 00:00:00,,,36.98
B000CRBEJ2,France,€,used,16.0,2018-10-20 00:00:00,125.0,2018-09-20 00:00:00,,,35.05
B000EEL6J6,France,€,amazon,6.4,2014-11-30 00:00:00,13.2,2021-07-16 00:00:00,12.9,2022-07-20 00:00:00,11.08
B000EEL6J6,France,€,new,1.43,2014-08-31 00:00:00,10.85,2020-11-24 00:00:00,,,9.18
B000EEL6J6,France,€,used,2.99,2016-10-21 00:00:00,49.29,2017-06-14 00:00:00,10.99,2024-01-19 00:00:00,12.01
B000P4IQN4,France,€,amazon,17.5,2021-11-26 00:00:00,49.22,2017-12-10 00:00:00,36.9,2023-12-15 00:00:00,33.65
B000P4IQN4,France,€,new,18.95,2017-01-11 00:00:00,83.0,2012-05-11 00:00:00,,,31.16
B000P4IQN4,France,€,used,14.99,2022-08-05 00:00:00,36.98,2013-12-20 00:00:00,31.97,2024-01-17 00:00:00,28.29
B0014BYHGC,France,€,amazon,14.39,2013-01-08 00:00:00,40.0,2023-06-30 00:00:00,35.0,2024-01-17 00:00:00,32.03
B0014BYHGC,France,€,new,16.13,2016-06-09 00:00:00,47.79,2022-11-21 00:00:00,,,28.42
B0014BYHGC,France,€,used,17.55,2018-06-16 00:00:00,32.79,2022-08-24 00:00:00,,,25.75
B0016MNAAI,France,€,amazon,95.0,2022-04-03 00:00:00,209.53,2012-05-31 00:00:00,,,124.22
B0016MNAAI,France,€,new,89.0,2022-04-03 00:00:00,319.99,2021-03-25 00:00:00,137.0,2023-12-13 00:00:00,139.48
B0016MNAAI,France,€,used,50.0,2012-03-12 00:00:00,268.78,2021-01-27 00:00:00,134.92,2024-01-19 00:00:00,128.23
B001ANXKMG,France,€,amazon,1.99,2019-08-23 00:00:00,5.8,2023-10-13 00:00:00,2.99,2023-10-28 00:00:00,2.71
B001ANXKMG,France,€,new,0.98,2024-01-10 00:00:00,6.67,2020-06-30 00:00:00,,,4.37
B001ANXKMG,France,€,used,2.13,2019-09-25 00:00:00,30.93,2023-12-15 00:00:00,29.64,2024-01-10 00:00:00,20.11
B001BEAWXY,France,€,amazon,17.8,2018-11-14 00:00:00,46.0,2016-12-06 00:00:00,42.9,2024-01-18 00:00:00,31.46
