product_group,category,manufacturer,model,local,selling_price,UPC,SKU,last_scan,last_followed,sku,country,EAN
Appareil-photos,Accessoire,Fujifilm,16386016 mini 2pack,FR,16.99,745313129931.0,B0000C73CQ,il y a4 heures,11 jours,B0000C73CQ,France,
Instruments de musique,Appareils électroniques,Ernie Ball,P02221,FR,7.5,603283005955.0,B0002M6CVC,il y a4 heures,le 04 jan. 2023,B0002M6CVC,France,74969912221.0
Personal Care Appliances,Beauté et hygiène,Beurer,FT-09,FR,11.49,421115791155.0,B0009G5BRW,il y a17 heures,il y a10 mois,B0009G5BRW,France,42111579115.0
Luggage,,Eastpak,EK000620008,FR,55.0,194116946687.0,B000CRBEJ2,il y a3 heures,il y a2 mois,B000CRBEJ2,France,3254644620.0
Instruments de musique,Accessoire,D'Addario,EJ45,FR,18.2,19954121266.0,B000EEL6J6,il y a3 heures,7 jours,B000EEL6J6,France,19954121266.0
Ameublement et décoration,Outils et accessoires,Bosch,2607019329,FR,35.19,,B000P4IQN4,il y a4 heures,le 26 sept. 2022,B000P4IQN4,France,316514037952.0
Shoes,Chaussures,Crocs,10001,FR,39.99,841158002467.0,B0014BYHGC,il y a5 heures,18 jours,B0014BYHGC,France,84115800246.0
Instruments de musique,Accessoires pour téléphone sans fil,Beyerdynamic,474746,FR,179.0,647336148176.0,B0016MNAAI,il y a5 heures,9 jours,B0016MNAAI,France,934006951573.0
Ameublement et décoration,Fournitures de bureau,UHU,42620,FR,4.99,793518247288.0,B001ANXKMG,il y a11 heures,le 03 jan. 2023,B001ANXKMG,France,402670042620.0
Vêtements,Vêtements,Calvin Klein Europe B.V. Underwear,0000U2662G,FR,42.9,,B001BEAWXY,il y a2 heures,9 jours,B001BEAWXY,France,505114528336.0
Drugstore,Beauté et hygiène,Optimum Nutrition,1031667,FR,33.03,748927028614.0,B002DYIZH6,il y a4 heures,12 jours,B002DYIZH6,France,74892706490.0
Ameublement et décoration,Outils et accessoires,Wolfcraft,4146000,FR,2.75,,B002OHKHOQ,il y a1 jours,,B002OHKHOQ,France,400688541460.0
Auto et moto,Automobile,Bosch,H301,FR,11.37,759119184063.0,B002ZRQ4BA,il y a2 heures,13 jours,B002ZRQ4BA,France,75911918406.0
Instruments de musique,Appareils électroniques,Yamaha,C40//02,FR,144.0,,B003UGCUFE,il y a3 heures,le 10 oct. 2022,B003UGCUFE,France,495781249681.0
Appareils électroniques,Beauté et hygiène,Duracell,MN21,FR,6.89,627614141488.0,B003UOWDCG,il y a4 heures,le 16 mar. 2022,B003UOWDCG,France,803051414281.0
Ameublement et décoration,Outils et accessoires,Stanley,0-30-687,FR,7.9,,B003Y6ISWO,il y a13 heures,il y a2 mois,B003Y6ISWO,France,325356030687.0
Maison,Articles ménagers,Foppapedretti,9900420012,FR,256.5,787162695779.0,B0061J9OME,23 minutes,12 jours à partir de maintenant,B0061J9OME,France,801344042012.0
Cuisine,Atelier de reliure,De'Longhi,DLSC500,FR,14.82,,B008YETL18,il y a4 heures,9 jours,B008YETL18,France,800439932949.0
Ameublement et décoration,Outils et accessoires,Henkel,1619481,FR,28.5,,B0092MEP58,il y a4 heures,il y a11 mois,B0092MEP58,France,317804104064.0
Ameublement et décoration,Fournitures de bureau,3M,40021915,FR,9.9,,B00H5NQVQW,il y a17 heures,il y a1 jours,B00H5NQVQW,France,404671973224.0
Drugstore,Beauté et hygiène,Alpine,AMS-PARTYPLUG-CLR,FR,12.15,,B00REB9VTO,il y a17 heures,il y a4 mois,B00REB9VTO,France,871715402355.0
Ameublement et décoration,Fournitures de bureau,3M,17206,FR,6.9,,B00X7792IE,il y a17 heures,1 jours à partir de maintenant,B00X7792IE,France,404671946663.0
Cuisine,Cuisine,Groupe SEB,ZR200520,FR,11.49,787162573800.0,B01539XFLI,il y a17 heures,il y a7 heures,B01539XFLI,France,366273495615.0
Maison,Cuisine,Feniks Sp. z o.o.,Feniks Eco Firelighters 500 pcs,FR,39.9,,B019H693FA,il y a13 heures,11 jours à partir de maintenant,B019H693FA,France,590826278266.0
Ordinateur personnel,Appareils électroniques,Logitech,960-001063,FR,39.99,190268110068.0,B01BGBJ8Y0,il y a17 heures,il y a3 mois,B01BGBJ8Y0,France,505453300055.0
Personal Care Appliances,Beauté et hygiène,Philips Consumer Lifestyle B.V.,QP220/50,FR,24.99,,B01FFOY006,il y a14 heures,le 03 jan. 2023,B01FFOY006,France,871010378742.0
Jeux vidéos,Accessoire,Sony,CUH-ZCT2EX/E,FR,59.99,711719870050.0,B01GVQUX3U,il y a16 heures,il y a2 mois,B01GVQUX3U,France,71171987005.0
